aerial with default prompt,aerial with image prompt
0.125,0.038461538461538464
0.0,0.07142857142857142
0.14285714285714285,0.1
0.07692307692307693,0.05
0.038461538461538464,0.0
0.09090909090909091,0.0
0.07692307692307693,0.11904761904761904
0.07692307692307693,0.0
0.08333333333333333,0.13571428571428573
0.0,0.20779220779220778
0.0,0.15
0.17857142857142855,0.1607142857142857
0.11904761904761904,0.1
0.041666666666666664,0.1
0.05,0.041666666666666664
0.045454545454545456,0.0
0.045454545454545456,0.0
0.08333333333333333,0.20779220779220778
0.03571428571428571,0.0
0.11538461538461539,0.2
